1773277370,1367
1773277360,4
1773277371,1324
1773277361,2
1773277372,1311
1773277362,5
1773277373,60
1773277356,6
1773277367,1306
1773277357,6
1773277368,1202
1773277358,3
1773277369,1290
1773277359,5
1773277352,2
1773277363,10
1773277353,5
1773277364,4
1773277354,2
1773277365,7
1773277355,4
1773277366,1450
1773277370,1425
1773277360,2
1773277371,1342
1773277361,3
1773277372,1341
1773277362,3
1773277373,60
1773277356,3
1773277367,1356
1773277357,5
1773277368,1247
1773277358,4
1773277369,1373
1773277363,6
1773277353,2
1773277364,4
1773277354,2
1773277365,2
1773277355,4
1773277366,1397
1773277370,1414
1773277360,6
1773277371,1338
1773277361,8
1773277372,1327
1773277362,4
1773277373,68
1773277356,7
1773277367,1342
1773277357,6
1773277368,1273
1773277358,3
1773277369,1279
1773277348,2
1773277359,1
1773277352,1
1773277363,7
1773277353,4
1773277364,8
1773277354,9
1773277355,4
1773277366,1322
1773277370,1422
1773277360,2
1773277371,1339
1773277361,6
1773277372,1313
1773277362,5
1773277373,91
1773277356,2
1773277367,1399
1773277357,6
1773277368,1127
1773277358,5
1773277369,1282
1773277359,4
1773277352,2
1773277363,4
1773277353,3
1773277364,4
1773277354,5
1773277365,5
1773277355,7
1773277366,1436
