1773288740,54
1773288743,35
1773288700,26
1773288744,48
1773288741,109
1773288703,142
1773288747,26
1773288704,20
1773288748,75
1773288701,191
1773288745,144
1773288702,141
1773288746,26
1773288707,91
1773288708,248
1773288705,111
1773288749,13
1773288706,289
1773288709,229
1773288750,339
1773288674,17
1773288677,29
1773288710,203
1773288754,48
1773288678,31
1773288711,247
1773288755,104
1773288675,10
1773288676,100
1773288753,56
1773288714,215
1773288758,24
1773288715,100
1773288759,10
1773288679,109
1773288712,109
1773288756,57
1773288713,430
1773288757,134
1773288718,83
1773288719,256
1773288716,90
1773288717,344
1773288680,33
1773288681,60
1773288684,30
1773288761,112
1773288685,83
1773288762,72
1773288682,97
1773288683,39
1773288760,36
1773288688,119
1773288721,229
1773288689,32
1773288722,158
1773288766,50
1773288686,35
1773288763,230
1773288687,41
1773288720,42
1773288764,105
1773288725,13
1773288726,306
1773288723,164
1773288767,4
1773288724,185
1773288729,96
1773288727,18
1773288728,46
1773288691,295
1773288692,44
1773288690,35
1773288695,65
1773288696,62
1773288693,14
1773288694,159
1773288699,63
1773288732,155
1773288733,38
1773288697,26
1773288730,29
1773288698,273
1773288731,35
1773288736,87
1773288737,39
1773288734,25
1773288735,19
1773288738,17
1773288739,297
1773288740,22
1773288743,38
1773288700,24
1773288744,37
1773288741,110
1773288703,142
1773288747,19
1773288704,19
1773288748,20
1773288701,197
1773288745,148
1773288702,141
1773288746,20
1773288707,91
1773288708,251
1773288705,263
1773288749,73
1773288706,140
1773288709,224
1773288750,18
1773288751,333
1773288677,22
1773288710,202
1773288754,21
1773288678,48
1773288711,247
1773288755,146
1773288675,26
1773288676,89
1773288753,41
1773288714,214
1773288758,32
1773288715,39
1773288759,13
1773288679,40
1773288712,109
1773288756,55
1773288713,431
1773288757,128
1773288718,169
1773288719,148
1773288716,152
1773288717,366
1773288680,92
1773288681,35
1773288684,37
1773288761,109
1773288685,28
1773288762,65
1773288682,47
1773288683,89
1773288760,32
1773288688,35
1773288721,229
1773288689,96
1773288722,94
1773288766,39
1773288686,117
1773288763,231
1773288687,41
1773288720,42
1773288764,115
1773288725,178
1773288726,159
1773288723,220
1773288767,14
1773288724,188
1773288729,20
1773288727,48
1773288728,96
1773288691,40
1773288692,284
1773288690,50
1773288695,120
1773288696,30
1773288693,34
1773288694,163
1773288699,59
1773288732,166
1773288733,35
1773288697,171
1773288730,28
1773288698,105
1773288731,26
1773288736,19
1773288737,47
1773288734,15
1773288735,87
1773288738,287
1773288739,45
1773288740,128
1773288743,26
1773288700,24
1773288744,41
1773288703,142
