1773288387,817
1773288388,1442
1773288385,564
1773288386,1132
1773288424,1
1773288389,886
1773288422,563
1773288423,564
1773288428,561
1773288429,1
1773288309,1696
1773288390,1375
1773288391,918
1773288394,386
1773288392,3284
1773288393,1062
1773288398,52
1773288431,2
1773288399,565
1773288432,563
1773288396,562
1773288397,514
1773288430,568
1773288435,562
1773288436,1
1773288433,1
1773288318,563
1773288439,561
1773288319,1
1773288437,1
1773288321,567
1773288442,565
1773288322,1
1773288443,2
1773288440,2
1773288441,1
1773288325,563
1773288446,541
1773288326,143
1773288447,1128
1773288444,1
1773288445,23
1773288327,421
1773288448,1119
1773288328,1
1773288449,13
1773288453,321
1773288333,566
1773288330,472
1773288331,92
1773288452,807
1773288336,1
1773288457,276
1773288337,1
1773288458,668
1773288334,1
1773288335,563
1773288456,566
1773288459,186
1773288340,562
1773288465,561
1773288341,563
1773288342,3
1773288347,562
1773288468,567
1773288469,1
1773288345,566
1773288466,2
1773288346,2
1773288467,1
1773288349,206
1773288350,358
1773288471,564
1773288351,1
1773288472,1126
1773288354,568
1773288355,3
1773288476,561
1773288352,1
1773288473,588
1773288353,561
1773288474,546
1773288358,39
1773288479,566
1773288359,1
1773288356,650
1773288477,2
1773288357,1002
1773288478,563
1773288361,564
1773288482,528
1773288362,390
1773288483,604
1773288360,566
1773288365,568
1773288363,176
1773288484,471
1773288364,562
1773288485,93
1773288369,561
1773288402,780
1773288403,1
1773288367,563
1773288400,1128
1773288368,567
1773288401,918
1773288489,774
1773288406,1462
1773288407,1134
1773288404,576
1773288405,1348
1773288408,564
1773288409,563
1773288490,358
1773288493,566
1773288373,1
1773288494,658
1773288370,91
1773288491,176
1773288371,1042
1773288492,385
1773288376,1697
1773288377,564
1773288410,651
1773288374,1127
1773288495,331
1773288375,565
1773288413,1127
1773288414,1
1773288411,481
1773288379,1747
1773288412,565
1773288417,997
1773288418,1131
1773288416,698
1773288419,2
1773288380,1644
1773288383,566
1773288384,1130
1773288381,1
1773288382,562
